model,density,noise,seed,va_mean,va_std,s_mean,s_std
vicsek,2,0.0,0,1.0,0.0,1.0,0.0
vicsek,2,0.0,1,1.0,0.0,1.0,0.0
vicsek,2,0.0,2,1.0,0.0,1.0,0.0
vicsek,2,0.0,3,1.0,0.0,1.0,0.0
vicsek,2,0.0,4,1.0,0.0,1.0,0.0
vicsek,2,0.5,0,0.97946832,0.004399037934548871,0.9593200000000001,0.06359471361677795
vicsek,2,0.5,1,0.981926248,0.004677626416730604,0.998735,0.00359510431003052
vicsek,2,0.5,2,0.9799222870000001,0.004105395289692699,0.9970749999999998,0.0032816725918348435
vicsek,2,0.5,3,0.9858136099999999,0.0029613194798771723,0.997015,0.010663713002514659
vicsek,2,0.5,4,0.977977665,0.004697089446111815,0.99414,0.017130685917382288
vicsek,2,1.0,0,0.929679261,0.014043968352388117,0.996315,0.007930685657621296
vicsek,2,1.0,1,0.9163367800000001,0.027538772406510786,0.9979649999999999,0.0058509635958532554
vicsek,2,1.0,2,0.9121579390000001,0.03418265750794223,0.9810549999999998,0.0389122342586493
vicsek,2,1.0,3,0.9281277640000001,0.019174938875477648,0.9961899999999999,0.005480319333761497
vicsek,2,1.0,4,0.9197617220000001,0.02043452781286409,0.9831699999999999,0.05412717524497284
vicsek,2,1.5,0,0.8424006980000001,0.03761054934707543,0.9829200000000001,0.015646839936549497
vicsek,2,1.5,1,0.8429473720000001,0.03291812197646785,0.98757,0.010222284480486747
vicsek,2,1.5,2,0.8369749589999999,0.03713469746484167,0.9661499999999998,0.023499521271719555
vicsek,2,1.5,3,0.825714125,0.04523998837872723,0.98603,0.0190548970083808
vicsek,2,1.5,4,0.836296205,0.0410382812331727,0.9813149999999999,0.021766850369311582
vicsek,2,2.0,0,0.691683313,0.0711420788759299,0.9803399999999999,0.045418987219003455
vicsek,2,2.0,1,0.665586454,0.13293334089024425,0.97348,0.040966933006999676
vicsek,2,2.0,2,0.713054437,0.05964116572075055,0.98354,0.02319737916231056
vicsek,2,2.0,3,0.7315599899999999,0.0622781957921382,0.9779749999999999,0.050915855830968804
vicsek,2,2.0,4,0.7099047569999999,0.060131909582516595,0.986785,0.01891001784769121
vicsek,2,2.5,0,0.5227026479,0.11572407067383991,0.949885,0.057520968133368544
vicsek,2,2.5,1,0.582969508,0.08676518769498476,0.970975,0.032233901020509444
vicsek,2,2.5,2,0.550253336,0.09302726401976522,0.958415,0.046693284045995306
vicsek,2,2.5,3,0.489591651,0.1395077073468385,0.9644199999999999,0.050286316230163455
